2,256,0,2,4
2,256,0,3,4
2,256,0,4,4
2,256,0,0,4
2,256,0,7,4
2,256,0,1,4
2,257,0,2,4
2,257,0,3,4
2,257,0,4,4
2,257,0,0,4
2,257,0,7,4
2,257,0,1,4
2,341,0,2,4
2,341,0,4,4
2,341,0,0,4
2,341,0,7,4
2,341,0,1,4
2,342,0,2,8
2,342,0,4,8
2,342,0,0,8
2,342,0,7,8
2,342,0,1,8
2,343,0,2,8
2,343,0,4,8
2,343,0,0,8
2,343,0,7,8
2,343,0,1,8
2,382,0,2,8
2,382,0,3,8
2,382,0,4,8
2,382,0,0,8
2,382,0,7,8
2,382,0,1,8
2,383,0,2,4
2,383,0,3,4
2,383,0,4,4
2,383,0,0,4
2,383,0,7,4
2,383,0,1,4
2,397,0,2,2
2,397,0,3,2
2,397,0,4,2
2,397,0,0,2
2,397,0,7,2
2,397,0,1,2
2,450,0,2,4
2,450,0,3,4
2,450,0,4,4
2,450,0,0,4
2,450,0,7,4
2,450,0,1,4
2,451,0,2,8
2,451,0,3,8
2,451,0,4,8
2,451,0,0,8
2,451,0,7,8
2,451,0,1,8
2,477,0,2,4
2,477,0,3,4
2,477,0,4,4
2,477,0,0,4
2,477,0,7,4
2,477,0,1,4
2,487,0,2,2
2,487,0,3,2
2,487,0,4,2
2,487,0,0,2
2,487,0,7,2
2,487,0,1,2
2,524,0,2,4
2,524,0,3,4
2,524,0,4,4
2,524,0,0,4
2,524,0,7,4
2,524,0,1,4
2,652,0,2,4
2,652,0,3,4
2,652,0,4,4
2,652,0,0,4
2,652,0,7,4
2,652,0,1,4
2,661,0,2,2
2,661,0,3,2
2,661,0,4,2
2,661,0,0,2
2,661,0,7,2
2,661,0,1,2
