1,黄帝,0,
2,大禹,0,
3,武王,0,
4,周公,0,
5,管仲,0,
6,老子,0,
7,孔子,0,
8,墨子,0,
9,扁鹊,0,
10,孟子,0,
11,庄子,0,
12,商鞅,0,
13,屈原,0,
14,项羽,0,
15,仲舒,0,
16,相如,0,
17,清照,0,
18,岳飞,0,
19,弃疾,0,
20,天祥,0,
21,思汗,0,
22,必烈,0,
23,汉卿,0,
24,道婆,0,
25,元璋,0,
26,阳明,0,
27,霞客,0,
28,时珍,0,
29,继光,0,
30,自成,0,
31,成功,0,
32,康熙,0,
33,松龄,0,
34,乾隆,0,
35,雪芹,0,
36,则徐,0,
37,慈禧,0,
38,国藩,0,
39,宗棠,0,
40,秀全,0,
41,鸿章,0,
42,雪岩,0,
43,有为,0,
44,天佑,0,
45,世凯,0,
46,白石,0,
47,中山,0,
48,元培,0,
49,独秀,0,
50,鲁迅,0,
51,四光,0,
52,可桢,0,
53,沫若,0,
54,悲鸿,0,
55,学良,0,
56,巴金,0,
57,兰芳,0,
58,景润,0,
59,乔治,0,
60,林肯,0,
61,亚瑟,0,
62,伯伦,0,
63,哈利,0,
64,宙斯,0,
65,赫拉,0,
66,吉姆,0,
67,杰克,0,
68,罗拉,0,
69,典娜,0,
70,波罗,0,
71,墨斯,0,
72,塞冬,0,
73,德华,0,
74,朝伟,0,
75,杰伦,0,
76,伟柏,0,
77,祖名,0,
78,志祥,0,
79,俊杰,0,
80,富城,0,
81,少秋,0,
82,咏麟,0,
83,有伦,0,
84,咏伦,0,
85,友朋,0,
86,志刚,0,
87,德伟,0,
88,中信,0,
89,力申,0,
90,搞曦,0,
91,霭明,0,
92,亦敏,0,
93,小娴,0,
94,文杰,0,
95,伟强,0,
96,志安,0,
97,鞍华,0,
98,海岚,0,
99,凯敏,0,
100,彦斌,0,
101,秋生,0,
102,耀明,0,
103,永亮,0,
104,德辉,0,
105,健新,0,
106,浩民,0,
107,受良,0,
108,蔼霖,0,
109,震华,0,
110,学而,0,
111,保怡,0,
112,宗泽,0,
113,泽锋,0,
114,国丰,0,
115,国豪,0,
116,小龙,0,
117,家仁,0,
118,钖明,0,
119,汶泽,0,
120,瑞祈,0,
121,昌佑,0,
122,绮贞,0,
123,一峰,0,
124,启新,0,
125,凯欣,0,
126,戴维,0,
127,建明,0,
128,子华,0,
129,浩康,0,
130,子豪,0,
131,国洪,0,
132,兆伦,0,
133,浩林,0,
134,政鸿,0,
135,迪文,0,
136,卫健,0,
137,健龙,0,
138,浩扬,0,
139,海恒,0,
140,逸朗,0,
141,伟文,0,
142,剑康,0,
143,洁仪,0,
144,嘉熙,0,
145,奕迅,0,
146,傲君,0,
147,兆辉,0,
148,国敬,0,
149,汉文,0,
150,志威,0,
151,冠希,0,
152,正楠,0,
153,伊健,0,
154,奕斯,0,
155,子健,0,
156,鸿卓,0,
157,柏霖,0,
158,启泰,0,
159,司翰,0,
160,晓东,0,
161,勋奇,0,
162,志朋,0,
163,子峻,0,
164,智孔,0,
165,值伟,0,
166,德伦,0,
167,天乐,0,
168,晋安,0,
169,品超,0,
170,润东,0,
171,家强,0,
172,立行,0,
173,品源,0,
174,没华,0,
175,仲昆,0,
176,建华,0,
177,育恒,0,
178,志光,0,
179,恩俊,0,
180,正龙,0,
181,子雄,0,
182,畊宏,0,
183,良伟,0,
184,景涛,0,
185,浚伟,0,
186,少聪,0,
187,达华,0,
188,宗康,0,
189,大宇,0,
190,仁甫,0,
191,大维,0,
192,建豪,0,
193,启华,0,
194,镇宇,0,
195,宗宪,0,
196,思凯,0,
197,冠杰,0,
198,承旭,0,
199,世荣,0,
200,志伟,0,
201,家辉,0,
202,子丹,0,
203,元畅,0,
204,镇涛,0,
205,孝天,0,
206,比亚,0,
207,斯泰,0,
208,雨果,0,
209,荷马,0,
210,歌德,0,
211,徒生,0,
212,普金,0,
213,狄更,0,
214,乔伊,0,
215,马克,0,
216,伽丘,0,
217,尔基,0,
218,伯纳,0,
219,明威,0,
220,卡卡,0,
221,亨利,0,
222,拜伦,0,
223,黑塞,0,
224,卢梭,0,
225,戈尔,0,
226,但丁,0,
227,泊桑,0,
228,杜甫,0,
229,李白,0,
230,楼拜,0,
231,尔泰,0,
232,威格,0,
233,雪莱,0,
234,仲马,0,
235,培根,0,
236,罗琳,0,
237,余华,0,
238,左拉,0,
239,汤达,0,
240,扎克,0,
241,默生,0,
242,语堂,0,
